Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Cost,Price,Profit,Quantity,Sales,Year,Quarter,Month,Month Number,Shipping Days,Profit Margin,Revenue Per Unit,Profit Per Unit,Loss Order
1,CA-2017-152156,2017-08-11,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,464.48,901.06,436.58,4,3604.243977,2017,3,August,8,92,0.12112942486301614,901.06099425,109.145,0
2,CA-2017-152156,2017-08-11,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",756.1,138.7,-617.4,12,1664.369269,2017,3,August,8,92,-0.3709513336370067,138.69743908333334,-51.449999999999996,1
3,CA-2017-138688,2017-12-06,2017-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,537.68,159.28,-378.4,12,1911.39775,2017,4,December,12,-173,-0.19797030733137566,159.28314583333335,-31.53333333333333,1
4,US-2016-108966,2016-11-10,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,875.91,445.88,-430.03,13,5796.463018,2016,4,November,11,-23,-0.07418834531758586,445.88177061538465,-33.07923076923077,1
5,US-2016-108966,2016-11-10,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,187.17,137.59,-49.58,19,2614.284944,2016,4,November,11,-23,-0.018965032910352866,137.59394442105264,-2.6094736842105264,1
6,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",795.6,162.16,-633.44,19,3081.066152,2015,3,September,9,-84,-0.2055911716107808,162.16137642105264,-33.33894736842105,1
7,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,711.32,172.24,-539.08,24,4133.747724,2015,3,September,9,-84,-0.13040950633493473,172.2394885,-22.46166666666667,1
8,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,378.18,939.85,561.67,7,6578.957164,2015,3,September,9,-84,0.08537371288468841,939.8510234285715,80.23857142857142,0
9,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,685.93,783.4,97.47,25,19584.93743,2015,3,September,9,-84,0.004976783834432704,783.3974972000001,3.8988,0
10,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,124.23,824.27,700.04,9,7418.467726,2015,3,September,9,-84,0.09436450030597598,824.2741917777778,77.78222222222222,0
11,CA-2015-115812,2015-09-06,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,742.2,747.27,5.07,15,11209.08286,2015,3,September,9,-84,0.00045231176032184314,747.2721906666667,0.338,0
